impending,即将发生的：soon to take place,
encomium,赞颂之词：praise,1
prune,梅干：plum dried；修剪；修正,1
milk,榨取（财富、信息等）：coerce profit,1
badger,"不断纠缠或骚扰：harass, persistently",1
wicked,邪恶的：morally bad,1
hew,"遵守：confirm, hold to something firmly；支持：steadfast support",1
startle,使吓一跳，使大吃一惊：frighten or surprise,
disparate,"迥然不同的：distinct, different dissimilar",
avowal,承认，公开宣称：declaration,1
bask,休息，悠然自得：lie or relax,1
homage,尊敬，敬意：respect,1
pulchritude,美丽：beauty,1
pout,（尤指撅嘴或板着脸）表示不悦：show displeasure,1
onerous,"费时间花心思的：requiring much time, effort",1
hangdog,"伤心的，沮丧的：sad, dejected",1
stonewall,"拒绝（合作），阻挠：uncooperative, obstructive",1
contort,扭曲：twist,1
concerted,共同完成的：accomplished together,1
squeamish,恶心的，晕船的：nausea,1
congenial,和善的，友好的：agreement；令人愉悦的：giving pleasure,1
harbor,提供住处，隐匿：provide habitat；心怀，牢记：keep in one’s mind,1
kindle,"点燃：set fire, ignite",1
accessory,"辅助的，附属的：secondary, supplementary, subordinate; 帮凶：one, wrongdoing",
cow,恐吓，威胁：frighten,1
insubordinate,不服从权威的：not submissive,
resuscitate,使复活，使苏醒：restore consciousness,
wag,诙谐幽默的人：humorous；摆动：move to and fro or up and down,1
ramble,漫步，漫游：move aimlessly；漫谈，长篇大论（并经常离题）地说或写：without a topic,1
frustrate,挫败，阻挠：prevent；使沮丧：lessen the courage,
sulk,生气，愠怒：resentment,1
disabuse,"打消错误念头，纠正：free from error, fallacy, misconception",
rapscallion,流氓，恶棍：evil,
lash,击打：hard strike；猛击，撞击：strike with force；捆扎：bind,
dissension,"意见不合：difference, disagreement",
amorphous,"无固定形状的：definite, shapeless; 不可归类的：unclassifiable",
accord,一致：consistency；相符合，相一致：in harmony；授予，给予：to grant or give,
trivial,琐碎的，无足轻重的：little importance,
jocund,欢快的，高兴的：sprightly lighthearted,
autocracy,"独裁政府：government, unlimited power",
overwrought,十分激动的，非常不安的：agitation；（装饰、文风等）过分华丽的：excessively decorated,
detract,贬低，降低价值：diminish；使分心：draw attention,
